,Suburb,Rooms,Type,Price,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,Lattitude,Longtitude,Propertycount,zipcode,airbnb_price_mean,airbnb_record_count
0,Abbotsford,2,h,1035000.0,2.5,3067.0,2.0,1.0,0.0,156.0,79.0,1900.0,-37.8079,144.9934,4019.0,3067.0,130.62403100775194,258.0
1,Abbotsford,3,h,1465000.0,2.5,3067.0,3.0,2.0,0.0,134.0,150.0,1900.0,-37.8093,144.9944,4019.0,3067.0,130.62403100775194,258.0
2,Abbotsford,4,h,1600000.0,2.5,3067.0,3.0,1.0,2.0,120.0,142.0,2014.0,-37.8072,144.9941,4019.0,3067.0,130.62403100775194,258.0
3,Abbotsford,3,h,1876000.0,2.5,3067.0,4.0,2.0,0.0,245.0,210.0,1910.0,-37.8024,144.9993,4019.0,3067.0,130.62403100775194,258.0
4,Abbotsford,2,h,1636000.0,2.5,3067.0,2.0,1.0,2.0,256.0,107.0,1890.0,-37.806,144.9954,4019.0,3067.0,130.62403100775194,258.0
5,Abbotsford,2,h,1097000.0,2.5,3067.0,3.0,1.0,2.0,220.0,75.0,1900.0,-37.801,144.9989,4019.0,3067.0,130.62403100775194,258.0
6,Abbotsford,3,h,1350000.0,2.5,3067.0,3.0,2.0,2.0,214.0,190.0,2005.0,-37.8085,144.9964,4019.0,3067.0,130.62403100775194,258.0
7,Abbotsford,2,u,750000.0,2.5,3067.0,2.0,2.0,1.0,0.0,94.0,2009.0,-37.8078,144.9965,4019.0,3067.0,130.62403100775194,258.0
8,Abbotsford,2,h,1310000.0,2.5,3067.0,2.0,1.0,2.0,238.0,97.0,1890.0,-37.809,144.9976,4019.0,3067.0,130.62403100775194,258.0
9,Abbotsford,3,h,1200000.0,2.5,3067.0,3.0,2.0,1.0,113.0,110.0,1880.0,-37.8056,144.993,4019.0,3067.0,130.62403100775194,258.0
10,Abbotsford,3,h,1176500.0,2.5,3067.0,2.0,1.0,1.0,138.0,105.0,1890.0,-37.8021,144.9965,4019.0,3067.0,130.62403100775194,258.0
11,Abbotsford,2,h,890000.0,2.5,3067.0,2.0,1.0,1.0,150.0,73.0,1985.0,-37.8011,145.0004,4019.0,3067.0,130.62403100775194,258.0
12,Abbotsford,4,h,1330000.0,2.5,3067.0,4.0,2.0,2.0,780.0,135.0,1900.0,-37.8073,144.9952,4019.0,3067.0,130.62403100775194,258.0
13,Abbotsford,2,u,500000.0,2.5,3067.0,2.0,1.0,1.0,0.0,60.0,1970.0,-37.8015,144.9972,4019.0,3067.0,130.62403100775194,258.0
14,Abbotsford,2,h,1100000.0,2.5,3067.0,2.0,2.0,1.0,124.0,135.0,2013.0,-37.8079,144.9977,4019.0,3067.0,130.62403100775194,258.0
15,Abbotsford,2,h,1315000.0,2.5,3067.0,2.0,1.0,0.0,147.0,85.0,1900.0,-37.808,144.994,4019.0,3067.0,130.62403100775194,258.0
16,Abbotsford,3,h,1447500.0,2.5,3067.0,3.0,3.0,1.0,166.0,174.0,2012.0,-37.8017,145.0001,4019.0,3067.0,130.62403100775194,258.0
17,Abbotsford,2,h,1135000.0,2.5,3067.0,2.0,2.0,2.0,98.0,128.0,1920.0,-37.8005,144.9952,4019.0,3067.0,130.62403100775194,258.0
18,Abbotsford,3,h,1290000.0,2.5,3067.0,3.0,1.0,1.0,168.0,124.0,1950.0,-37.8007,144.9958,4019.0,3067.0,130.62403100775194,258.0
19,Abbotsford,1,u,470000.0,2.5,3067.0,1.0,1.0,1.0,0.0,50.0,2013.0,-37.8055,144.9961,4019.0,3067.0,130.62403100775194,258.0
20,Abbotsford,2,h,1180000.0,2.5,3067.0,2.0,1.0,0.0,162.0,91.0,1900.0,-37.8016,144.9956,4019.0,3067.0,130.62403100775194,258.0
21,Abbotsford,3,h,1195000.0,2.5,3067.0,3.0,2.0,1.0,120.0,128.0,1998.0,-37.8022,144.9954,4019.0,3067.0,130.62403100775194,258.0
22,Abbotsford,2,h,1012500.0,2.5,3067.0,2.0,1.0,0.0,182.0,82.0,1900.0,-37.8021,144.9976,4019.0,3067.0,130.62403100775194,258.0
23,Abbotsford,2,h,1030000.0,2.5,3067.0,2.0,1.0,1.0,172.0,81.0,1930.0,-37.8086,144.9946,4019.0,3067.0,130.62403100775194,258.0
24,Airport West,3,t,840000.0,13.5,3042.0,3.0,2.0,1.0,303.0,225.0,2016.0,-37.718,144.878,3464.0,,,
